STATION_NAME,LATITUDE,LONGITUDE,MODEL,YEAR_START,YEAR_END,SCENARIO
CITY_OF_VERNON 1850 E25TH-4,34.014472000000000,-118.23798500000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 5 N,2025,2025,native only
Honda DTLA,34.010828320642500,-118.28703020000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-3,34.007876000000000,-118.21990100000000,Ioniq 6,2022,2025,native only
B&D PROP MGMT 2625 ST ROSE,36.014373000000000,-115.10303200000000,Ioniq 5,2022,2024,native only
"City of Industry, CA - Gale Avenue - Tesla Supercharger",33.994491000000000,-117.89956900000000,Ioniq 5,2025,2026,native only
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Ioniq 9,2026,,native only
7-ELEVEN 20101 POMNA DC2,34.067350000000000,-117.71904000000000,Ioniq 5,2025,2026,native only
7-ELEVEN 20101 POMNA DC1,34.067274000000000,-117.71905700000000,Ioniq 5 N,2025,2025,native only
H&S ENERGY H&S#20 CHEVRON,34.034767000000000,-118.09062900000000,Ioniq 6,2022,2025,native only
ONTARIO HYUNDAI VEHICLE DISPLY1,34.049976000000000,-117.54789800000000,Ioniq 5,2022,2024,native only
G&M OIL CHEVRON #27,34.470993000000000,-117.35262000000000,Ioniq 5 N,2025,2025,native only
City of Pasadena - Arroyo Parkway,34.127455808632000,-118.14781708221200,Ioniq 6,2022,2025,native only
"Covina, CA - S Barranca Ave - Tesla Supercharger",34.073767000000000,-117.88090200000000,Ioniq 5 N,2026,2026,native only
"IKEA 413 Los Angeles (Covina, CA)",34.074180000000000,-117.88100000000000,Ioniq 5 N,2025,2025,native only
"Las Vegas, NV - Grand Central Parkway - Tesla Supercharger",36.166039000000000,-115.15917000000000,Ioniq 6,2022,2025,with adapter
FH DELIVERY 123FC FH SVC,34.133956000000000,-117.43697400000000,Ioniq 5 N,2025,2025,with adapter
"Ontario, CA - Ontario Mills Pkwy - Tesla Supercharger",34.068955000000000,-117.55628500000000,Ioniq 5,2022,2024,with adapter
"Ontario, CA - Ontario Mills Pkwy - Tesla Supercharger",34.068955000000000,-117.55628500000000,Ioniq 6,2022,2025,with adapter
CITY_OF_VERNON 3805 SOTO-9,34.008059000000000,-118.21997600000000,Ioniq 5 N,2025,2025,with adapter
The Village at Century,33.944829000000000,-118.33068600000000,Ioniq 9,2026,,with adapter
"Walmart 5154 (Rosemead, CA)",34.050900000000000,-118.08359000000000,Ioniq 5 N,2026,2026,with adapter
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 5 N,2026,2026,with adapter
"Covina, CA - S Barranca Ave - Tesla Supercharger",34.073767000000000,-117.88090200000000,Ioniq 5 N,2026,2026,with adapter
City of Los Angeles Lot 639,34.108426000000000,-118.19387300000000,Ioniq 5 N,2026,2026,with adapter
L344 3RD FLOOR MBZ,34.035409000000000,-118.27229600000000,Kona Electric,2019,2025,with adapter
CITY_OF_VERNON 3805 SOTO-6,34.007957000000000,-118.21989500000000,Ioniq 5,2022,2024,with adapter
"Upland, CA - Arrow Rte - Tesla Supercharger",34.099154000000000,-117.70019200000000,Ioniq 5,2025,2026,with adapter
Winterwood Pavilion,36.146180000000000,-115.06522000000000,Ioniq 5 N,2026,2026,with adapter
Claremont Star,34.107625900000000,-117.72058890000000,Ioniq 9,2026,,with adapter
"Ontario, CA - Mills Circle - Tesla Supercharger",34.071708000000000,-117.55616000000000,Ioniq 5 N,2026,2026,with adapter
Barstow - Coral Charge,34.891277870000000,-117.00371410000000,Ioniq 5 N,2025,2025,with adapter
"Hesperia, CA - Main Street - Tesla Supercharger",34.426362000000000,-117.35465000000000,Kona Electric,2019,2025,with adapter
SCPPA SCPPA CPE200T,34.118106000000000,-117.82245700000000,Ioniq 5 N,2026,2026,with adapter
Overland Structure 1st Floor,34.015755000000000,-118.40349300000000,Ioniq 6,2026,,with adapter
Honda DTLA,34.010828320642500,-118.28703020000000,Ioniq 5 N,2025,2025,with adapter
CITY_OF_VERNON 1850 E25TH-9,34.014385000000000,-118.23808800000000,Kona Electric,2019,2025,with adapter
FINDLAY AUTO ABB STATION1,36.143714000000000,-115.21425600000000,Ioniq 5,2025,2026,with adapter
Metro Nissan of Montclair,34.082222000000000,-117.69490300000000,Ioniq 5,2022,2024,with adapter
"Target T2179 (Diamond Bar, CA)",34.004360000000000,-117.82223000000000,Ioniq 5,2025,2026,with adapter
7-ELEVEN 20101 POMNA DC1,34.067274000000000,-117.71905700000000,Ioniq 5 N,2025,2025,with adapter
1135 W Renaissance Parkway,34.132132000000000,-117.39271700000000,Ioniq 6,2026,,with adapter
Margarita Plaza,33.975304000000000,-118.23001900000000,Ioniq 5,2022,2024,with adapter
"Target T0767 (San Dimas, CA)",34.103250000000000,-117.82342000000000,Ioniq 5,2025,2026,with adapter
ONTARIO 76 CHARGER 2,34.063302000000000,-117.61153300000000,Kona Electric,2019,2025,with adapter
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Ioniq 5 N,2026,2026,with adapter
7-ELEVEN 20101 POMNA DC2,34.067350000000000,-117.71904000000000,Ioniq 5,2025,2026,with adapter
LOVE'S 374 - CA #374 DC1,34.856826000000000,-117.09190800000000,Ioniq 6,2022,2025,with adapter
"Baker, CA - Mojave Pointe Rd - Tesla Supercharger",35.268984000000000,-116.06668900000000,Ioniq 6,2022,2025,with adapter
"Target T0265 (Paradise, NV)",36.115690000000000,-115.13926000000000,Ioniq 6,2026,,with adapter
"Barstow, CA",34.851349000000000,-117.08257800000000,Ioniq 5,2022,2024,with adapter
"Barstow, CA",34.851349000000000,-117.08257800000000,Ioniq 6,2026,,with adapter
Barlow Respiratory Hospital,34.074594000000000,-118.24769900000000,Kona Electric,2019,2025,with adapter
Puente Hills Nissan,33.998192000000000,-117.92814600000000,Ioniq 5 N,2026,2026,with adapter
660 Mateo Parking Lot,34.035930000000000,-118.23231000000000,Kona Electric,2019,2025,with adapter
"Las Vegas, NV - Grand Central Parkway - Tesla Supercharger",36.166039000000000,-115.15917000000000,Ioniq 9,2026,,with adapter
"Las Vegas, NV - East Sahara Avenue - Tesla Supercharger",36.145396000000000,-115.10297800000000,Ioniq 5 N,2026,2026,with adapter
"Ralphs 32 (Los Angeles, CA)",34.068540000000000,-118.29112000000000,Ioniq 5,2022,2024,with adapter
IN-N-OUT ATLANTIC 01,33.977780000000000,-118.18719400000000,Ioniq 9,2026,,with adapter
8000 Sunset Blvd,34.097482500000000,-118.36446270000000,Ioniq 6,2026,,with adapter
H&S ENERGY H&S#23 CHEVRON,34.046069000000000,-117.80259600000000,Ioniq 9,2026,,with adapter
"Vernon, CA - E 25th St - Tesla Supercharger",34.014266000000000,-118.23827100000000,Ioniq 5 N,2025,2025,with adapter
Mountain Vista Plaza,34.137466600000000,-117.98216400000000,Ioniq 6,2026,,with adapter
SCAQMD Offices,34.001519000000000,-117.83051900000000,Kona Electric,2019,2025,with adapter
"South Pasadena, CA - Tesla Supercharger",34.112612000000000,-118.15064600000000,Kona Electric,2019,2025,with adapter
DC CORRIDOR EDDIES Y DC2,34.907482000000000,-116.83597400000000,Ioniq 9,2026,,with adapter
"Baldwin Park, CA - Tesla Supercharger",34.079207000000000,-117.98884000000000,Ioniq 6,2022,2025,with adapter
Fontana Ignite Fueling,34.121007500000000,-117.45312410000000,Ioniq 5 N,2026,2026,with adapter
Friendly Ford Body Shop,36.189116000000000,-115.20506200000000,Ioniq 9,2026,,with adapter
"Diamond Bar, CA - Tesla Supercharger",33.975843000000000,-117.83842800000000,Ioniq 5,2022,2024,with adapter
L344 3RD FLOOR MBZ,34.035409000000000,-118.27229600000000,Ioniq 6,2026,,with adapter
"BOA LA Chinatown CA9-167 (Los Angeles, CA)",34.063310000000000,-118.23718000000000,Kona Electric,2019,2025,with adapter
L344 3RD FLOOR MBZ,34.035409000000000,-118.27229600000000,Ioniq 5,2025,2026,with adapter
Tesla Diner - Tesla Supercharger,34.091268000000000,-118.34221500000000,Ioniq 5 N,2026,2026,with adapter
"Glendale, CA - N Glendale Ave - Tesla Supercharger",34.149535700000000,-118.24781960000000,Ioniq 5 N,2026,2026,with adapter
Resort World Las Vegas,36.135200000000000,-115.16760000000000,Kona Electric,2019,2025,with adapter
"Pavilions 2229 (Los Angeles, CA)",34.083640000000000,-118.32747000000000,Ioniq 5 N,2025,2025,with adapter
CITY_OF_VERNON 1850 E25TH-4,34.014472000000000,-118.23798500000000,Kona Electric,2019,2025,with adapter
Sheraton Universal Hotel DC,34.137527400000000,-118.36003140000000,Ioniq 6,2022,2025,with adapter
Queen of the Valley Hospital - DC Fast,34.063410270693500,-117.94577555662200,Ioniq 5 N,2026,2026,with adapter
Diamond Hills Plaza,33.975996600000000,-117.83810960000000,Ioniq 5 N,2025,2025,with adapter
"Westfield Culver City (Culver City, CA)",33.986880000000000,-118.39429000000000,Ioniq 6,2022,2025,with adapter
"San Gabriel, CA - Tesla Supercharger",34.077496000000000,-118.10012800000000,Ioniq 5,2022,2024,with adapter
City of Los Angeles Lot 675,34.103853000000000,-118.29105200000000,Ioniq 5 N,2025,2025,with adapter
City of Los Angeles Lot 675,34.103853000000000,-118.29105200000000,Kona Electric,2019,2025,with adapter
Hilton Plaza,34.080257000000000,-118.10265600000000,Ioniq 5 N,2026,2026,with adapter
